imagem,endereco
https://cdn-biasi.blueintra.com/images/lot/14/50/1000/1450459.jpg, SÃO PAULO - SP  RUA JOAQUIM DE SOUZA PACHECO FO 395  Casa 150m² 10% off   R$ 337.700  mais detalhes 
https://cdn-biasi.blueintra.com/images/lot/14/22/1000/1422936.png, SÃO PAULO - SP  RUA OTTO BENDER- Nº 146- LOTE 27- QUADRA I  Casa 344m² 10% off   R$ 648.000  mais detalhes 
https://cdn1.megaleiloes.com.br/batches/104807/33a369623a4d0be6aa5b8cfea0bfb63e_670x380.jpg, SÃO PAULO - SP  RUA DR. ABELARDO VERGUEIRO CÉSAR- Nº 385 APARTAMENTO Nº 174- LOCALIZADO NO 16º PAVIMENTO (17º ANDAR)  Apartamento 149m² 10% off   R$ 1.525.400  mais detalhes 
https://www.itau.com.br/media/dam/m/622c203cf62aab7/original/nao-encontrado-nl.png, SÃO PAULO - SP  RUA ANTONIO GOMES DA SILVA  Apartamento 42m² 10% off   R$ 269.800  mais detalhes 
https://www.itau.com.br/media/dam/m/622c203cf62aab7/original/nao-encontrado-nl.png," SÃO PAULO - SP  RUA ERNESTO CASTRO, APTO 505  Casa 0m² 10% off   R$ 423.500  mais detalhes "
https://www.itau.com.br/media/dam/m/622c203cf62aab7/original/nao-encontrado-nl.png," SÃO PAULO - SP  RUA GERMAN LORCA, APTO 22 – BLOCO A  Apartamento 44m² 10% off   R$ 218.300  mais detalhes "
https://www.itau.com.br/media/dam/m/622c203cf62aab7/original/nao-encontrado-nl.png, SÃO PAULO - SP  AVENIDA JOAQUINA RAMALHO  Apartamento 50m² 10% off   R$ 322.400  mais detalhes 
